video_id,video_name,file_name,gloss,phrase,num_words,variations,num_variations,video_length,resolution,frame_rate,duplicate
650,خشب,650_خشب.mp4,خشب,خشب,1,يخشبان|خشبتن|خشبات|اخشاب|يخشبن|خشبتي|تخشبي|يخشبوا|خشبوا|خشبتان|خشبتم|خشبتا|تخشب|يخشب|خشبا|يخشبا|خشبت|اخشابا|تخشبين|تخشبوا|يخشبون|تخشبون|خشبنا|تخشبن|خشبتين|اخشب|تخشبان|خشبن|نخشب|تخشبا|خشبه|خشبتما,32,,,,False
651,بئر,651_بئر.mp4,بئر,بئر,1,بئارا|بئار|بئران|بئري|بئرين|ابارا|بئرا|ابار,8,,,,False
652,بركان,652_بركان.mp4,بركان,بركان,1,بركانا|بركانين|بركاني|بركانان|براكين,5,,,,False
653,محيط,653_محيط.mp4,محيط,محيط,1,محيطات|محيطين|محيطي|محيطه|محيطو|محيطتان|محيطان|محيطتي|محيطون|محيطتين|محيطتا|محيطا,12,,,,False
654,مقبول,654_مقبول.mp4,مقبول,مقبول,1,مقبولي|مقبولين|مقبولان|مقبولون|مقبولو|مقبوله|مقبولا|مقبولتا|مقبولتان|مقبولتي|مقبولات|مقبولتين,12,,,,False
655,وكيل مدرسة,655_وكيل مدرسة.mp4,وكيل مدرسة,وكيل مدرسة,2,وكيل مدرسه,1,,,,False
656,طرح,656_طرح.mp4,طرح,طرح,1,اطرح|طرحنا|طرحتن|طراح|تطرحون|طرحه|طرحت|يطرحا|تطرحا|يطرحن|يطرحوا|يطرح|طرحوا|تطرحين|تطرحان|يطرحان|تطرحي|طرحتم|تطرحن|نطرح|طرحتا|تطرح|طرحتما|يطرحون|طرحن|تطرحوا|طرحا|طراحا,28,,,,False
657,تاريخ,657_تاريخ.mp4,تاريخ,تاريخ,1,تاريخا|تواريخ|تاريخان|تاريخين|تاريخي,5,,,,True
658,حقيبة مدرسية,658_حقيبة مدرسية.mp4,حقيبة مدرسية,حقيبة مدرسية,2,حقيبه مدرسيه,1,,,,False
659,جدول دراسي,659_جدول دراسي.mp4,جدول دراسي,جدول دراسي,2,,0,,,,False
660,مدرسة,660_مدرسة.mp4,مدرسة,مدرسة,1,مدرستي|مدرسو|مدرستا|مدرسي|مدرستين|مدرسين|مدرسات|مدرسان|مدرسون|مدرس|مدرستان|مدارس|مدرسه|مدرسا,14,,,,False
661,علوم,661_علوم.mp4,علوم,علوم,1,علوما|علما|علم,3,,,,False
662,مبراة,662_مبراة.mp4,مبراة,مبراة,1,مبراتي|مبراتا|مبراتان|مبريات|مبراتين|مبراه|مبار|مباري,8,,,,False
663,ناجح,663_ناجح.mp4,ناجح,ناجح,1,ناجحو|ناجحتين|ناجحون|ناجحا|ناجحان|ناجحي|ناجحتي|ناجحين|ناجحتا|ناجحات|ناجحه|ناجحتان,12,,,,False
664,تربية إسلامية,664_تربية إسلامية.mp4,تربية إسلامية,تربية إسلامية,2,تربيه اسلاميه,1,,,,False
665,قانون,665_قانون.mp4,قانون,قانون,1,قانوني|قانونان|قانونين|قانونا|قوانين,5,,,,False
666,شعاع,666_شعاع.mp4,شعاع,شعاع,1,شعاعا|شعاعي|شعاعتي|شعاعتان|شعاعان|اشعه|شعاعات|شعاعتا|شعاعين|شعاعتين|شعاعه,11,,,,True
667,رياضيات,667_رياضيات.mp4,رياضيات,رياضيات,1,رياضيا|رياضيون|رياضيه|رياضي|رياضيتان|رياضيتين|رياضيي|رياضيتي|رياضيتا|رياضيين|رياضيو|رياضيان,12,,,,False
668,ضرب,668_ضرب.mp4,ضرب,ضرب,1,ضربت|ضربتن|ضربتما|يضربوا|يضربون|ضربتا|تضربون|تضربين|يضربان|يضربن|تضربان|يضرب|تضربي|تضربن|اضرب|ضربوا|تضربا|تضرب|ضربا|ضربنا|يضربا|ضربتم|ضربن|نضرب|تضربوا,25,,,,True
669,مدير مدرسة,669_مدير مدرسة.mp4,مدير مدرسة,مدير مدرسة,2,مدير مدرسه,1,,,,False
670,طابور,670_طابور.mp4,طابور,طابور,1,طابورين|طابوران|طابورا|طوابير|طابوري,5,,,,False
671,معلم,671_معلم.mp4,معلم,معلم,1,معلمين|معلمي|معلمه|معلمتا|معلمو|معلمون|معلمتان|معلمتي|معلما|معلمات|معلمان|معالم|معلمتين,13,,,,True
672,الأول,672_الأول.mp4,الأول,الأول,1,اوليتان|اولان|اولو|اولون|اوليتي|اولا|اولتا|اوليات|اوله|اوليا|اوليه|اولات|اولى|اوليتا|اوليين|اوليي|اول|اوليتين|اولي|الاول|اولتين|اولتي|اوليان|اولين|اولتان,25,,,,False
673,وزارة العدل,673_وزارة العدل.mp4,وزارة العدل,وزارة العدل,2,وزاره العدل,1,,,,False
674,جيد جدا,674_جيد جدا.mp4,جيد جدا,جيد جدا,2,,0,,,,False
675,وزارة شؤون الرئاسة,675_وزارة شؤون الرئاسة.mp4,وزارة شؤون الرئاسة,وزارة شؤون الرئاسة,3,وزاره شؤون الرئاسه,1,,,,False
676,معين,676_معين.mp4,معين,معين,1,معينا|معينتان|معينان|معينه|معيني|معينين|معينتين|معينتي|معينتا|معينات|معينون|معينو,12,,,,False
677,المركز الوطني للأرصاد والزلازل,677_المركز الوطني للأرصاد والزلازل.mp4,المركز الوطني للأرصاد والزلازل,المركز الوطني للأرصاد والزلازل,4,المركز الوطني للارصاد والزلازل,1,,,,False
678,إعادة,678_إعادة.mp4,إعادة,إعادة,1,يعدن|تعيد|يعيد|اعيدت|تعد|اعيد|اعادت|يعد|اعدتم|تعادان|يعاد|اعاده|يعيدوا|اعيدتا|يعادا|يعادوا|تعيدوا|يعادان|اعدتن|نعاد|اعدت|تعاد|نعيد|تعيدان|تعيدين|اعادتا|اعادتين|اعدتما|اعادتان|يعادون|تعدن|يعيدون|تعادي|تعادين|اعادوا|اعدن|تعادوا|اعادتي|اعدنا|اعيدا|يعيدا|اعيدوا|تعيدي|يعيدان|تعيدا|اعادا|اعادات|تعادا|اعاد|تعيدون|تعادون,51,,,,True
679,الهيئة العامة للمعاشات,679_الهيئة العامة للمعاشات.mp4,الهيئة العامة للمعاشات,الهيئة العامة للمعاشات,3,الهيئه العامه للمعاشات,1,,,,False
680,جواب,680_جواب.mp4,جواب,جواب,1,جابيتان|جوابا|جوابين|جابيه|جابيتي|جابيتين|جابيتا|جوابات|جوابان|جوابي|اجوبه,11,,,,False
681,كلية الشرطة,681_كلية الشرطة.mp4,كلية الشرطة,كلية الشرطة,2,كليه الشرطه,1,,,,False
682,لغة عربية,682_لغة عربية.mp4,لغة عربية,لغة عربية,2,لغه عربيه,1,,,,False
683,وزارة التربية والتعليم,683_وزارة التربية والتعليم.mp4,وزارة التربية والتعليم,وزارة التربية والتعليم,3,وزاره التربيه والتعليم,1,,,,False
684,جرس,684_جرس.mp4,جرس,جرس,1,تجرسين|جرستما|يجرسا|اجراسا|يجرسوا|جرسنا|نجرس|جرستم|يجرسان|يجرسون|تجرسن|تجرسي|جرسان|جرستن|يجرس|تجرسوا|اجراس|جرسوا|تجرس|جرست|جرسن|تجرسان|جرسا|اجرس|تجرسا|تجرسون|جرستا|جرسين|يجرسن|جرسي,30,,,,True
685,وزارة التعليم العالي,685_وزارة التعليم العالي.mp4,وزارة التعليم العالي,وزارة التعليم العالي,3,وزاره التعليم العالي,1,,,,False
686,ممحاة سبورة,686_ممحاة سبورة.mp4,ممحاة سبورة,ممحاة سبورة,2,ممحاه سبوره,1,,,,False
